h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
2432,6488,38,38,0.000548,256,51324,-1,26908557312.0,2697992704,18458062848,4.97e+20,2697992704,3016759808,2.05174
2432,6488,38,38,0.00061,320,58066,-1,38054133760.0,2697992704,18458062848,7.02e+20,2697992704,3016759808,2.069795
2432,6488,38,38,0.00026,64,18145,-1,2378301440.0,2697992704,18458062848,4.39e+19,2697992704,3016759808,2.481655
2432,6488,38,38,0.000322,96,24194,-1,4756733952.0,2697992704,18458062848,8.78e+19,2697992704,3016759808,2.338676
2432,6488,38,38,0.000443,176,37326,-1,13454082048.0,2697992704,18458062848,2.48e+20,2697992704,3016759808,2.199666
2432,6488,38,38,0.000493,208,44666,-1,19027001344.0,2697992704,18458062848,3.51e+20,2697992704,3016759808,2.128605
2432,6488,38,38,0.000234,56,14664,-1,1681784832.0,2697992704,18458062848,3.1e+19,2697992704,3016759808,2.499464
2432,6488,38,38,0.000358,112,29328,-1,6727139328.0,2697992704,18458062848,1.24e+20,2697992704,3016759808,2.253857
2432,6488,38,38,0.000398,144,32259,-1,9513566208.0,2697992704,18458062848,1.76e+20,2697992704,3016759808,2.254443
2432,6488,38,38,0.000289,80,20529,-1,3363471360.0,2697992704,18458062848,6.21e+19,2697992704,3016759808,2.340536
2432,6488,38,38,0.000755,448,82952,-1,76108791808.0,2697992704,18458062848,1.4e+21,2697992704,3016759808,1.983261
2432,6488,38,38,0.00084,576,91243,-1,107635000000.0,2697992704,18458062848,1.99e+21,2697992704,3016759808,1.958516
2432,6488,38,38,0.000678,384,68432,-1,53817114624.0,2697992704,18458062848,9.93e+20,2697992704,3016759808,1.997333
2432,6488,38,38,0.00104,896,117312,-1,215268000000.0,2697992704,18458062848,3.97e+21,2697992704,3016759808,1.896413
2432,6488,38,38,0.000934,640,116133,-1,152218000000.0,2697992704,18458062848,2.81e+21,2697992704,3016759808,1.920109
