h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
1728,4528,27,27,0.000675,96,24194,-1,4756733952.0,956354688,6884186112,3.27e+19,956354688,1182847104,2.426721
1728,4528,27,27,0.000546,64,18145,-1,2378301440.0,956354688,6884186112,1.64e+19,956354688,1182847104,2.570437
1728,4528,27,27,0.00103,208,44666,-1,19027001344.0,956354688,6884186112,1.31e+20,956354688,1182847104,2.22774
1728,4528,27,27,0.000836,144,32259,-1,9513566208.0,956354688,6884186112,6.55e+19,956354688,1182847104,2.341859
1728,4528,27,27,0.00142,384,68432,-1,53817114624.0,956354688,6884186112,3.7e+20,956354688,1182847104,2.117878
1728,4528,27,27,0.000607,80,20529,-1,3363471360.0,956354688,6884186112,2.32e+19,956354688,1182847104,2.424628
1728,4528,27,27,0.000751,112,29328,-1,6727139328.0,956354688,6884186112,4.63e+19,956354688,1182847104,2.351433
1728,4528,27,27,0.000441,40,14516,-1,1189150720.0,956354688,6884186112,8.19e+18,956354688,1182847104,2.742573
1728,4528,27,27,0.00093,176,37326,-1,13454082048.0,956354688,6884186112,9.26e+19,956354688,1182847104,2.290967
1728,4528,27,27,0.00115,256,51324,-1,26908557312.0,956354688,6884186112,1.85e+20,956354688,1182847104,2.161753
1728,4528,27,27,0.00176,576,91243,-1,107635000000.0,956354688,6884186112,7.41e+20,956354688,1182847104,2.084503
1728,4528,27,27,0.00049,56,14664,-1,1681784832.0,956354688,6884186112,1.16e+19,956354688,1182847104,2.581104
1728,4528,27,27,0.00158,448,82952,-1,76108791808.0,956354688,6884186112,5.24e+20,956354688,1182847104,2.099439
1728,4528,27,27,0.00218,832,126336,-1,215268000000.0,956354688,6884186112,1.48e+21,956354688,1182847104,2.035467
1728,4528,27,27,0.00196,704,105575,-1,152217000000.0,956354688,6884186112,1.05e+21,956354688,1182847104,2.067369
1728,4528,27,27,0.00115,256,51324,-1,26908557312.0,956354688,6884186112,1.85e+20,956354688,1182847104,2.161753
1728,4528,27,27,0.0027,1280,164237,-1,430537000000.0,956354688,6884186112,2.96e+21,956354688,1182847104,1.962724
1728,4528,27,27,0.00243,1024,145166,-1,304435000000.0,956354688,6884186112,2.1e+21,956354688,1182847104,2.009372
1728,4528,27,27,0.00128,304,61122,-1,38054068224.0,956354688,6884186112,2.62e+20,956354688,1182847104,2.190943
