h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
1152,3032,18,18,0.00122,56,17438,-1,1999929344.0,284207616,2214604800,4.43e+18,284207616,435202560,2.640337
1152,3032,18,18,0.00136,72,19181,-1,2828353536.0,284207616,2214604800,6.26e+18,284207616,435202560,2.665192
1152,3032,18,18,0.00152,88,22194,-1,3999891456.0,284207616,2214604800,8.86e+18,284207616,435202560,2.583795
1152,3032,18,18,0.00169,104,26558,-1,5656641536.0,284207616,2214604800,1.25e+19,284207616,435202560,2.528073
1152,3032,18,18,0.00187,128,30517,-1,7999848448.0,284207616,2214604800,1.77e+19,284207616,435202560,2.502239
1152,3032,18,18,0.00209,152,36343,-1,11313430528.0,284207616,2214604800,2.51e+19,284207616,435202560,2.443211
1152,3032,18,18,0.00232,192,40690,-1,15999959040.0,284207616,2214604800,3.54e+19,284207616,435202560,2.40457
1152,3032,18,18,0.00258,232,47623,-1,22627401728.0,284207616,2214604800,5.01e+19,284207616,435202560,2.329459
1152,3032,18,18,0.00287,280,55803,-1,31999672320.0,284207616,2214604800,7.09e+19,284207616,435202560,2.320447
1152,3032,18,18,0.00319,344,64235,-1,45254328320.0,284207616,2214604800,1e+20,284207616,435202560,2.304981
1152,3032,18,18,0.00355,416,75120,-1,63999836160.0,284207616,2214604800,1.42e+20,284207616,435202560,2.278046
1152,3032,18,18,0.00395,512,86316,-1,90508886016.0,284207616,2214604800,2e+20,284207616,435202560,2.259881
1152,3032,18,18,0.0044,624,100160,-1,128000000000.0,284207616,2214604800,2.83e+20,284207616,435202560,2.238094
1152,3032,18,18,0.000993,40,12207,-1,999997440.0,284207616,2214604800,2.21e+18,284207616,435202560,2.840018
1152,3032,18,18,0.00491,768,115088,-1,181018000000.0,284207616,2214604800,4.01e+20,284207616,435202560,2.206726
1152,3032,18,18,0.0011,48,14386,-1,1414201344.0,284207616,2214604800,3.13e+18,284207616,435202560,2.695422
1152,3032,18,18,0.00546,928,134698,-1,255999000000.0,284207616,2214604800,5.67e+20,284207616,435202560,2.200051
1152,3032,18,18,0.00608,1120,157836,-1,362038000000.0,284207616,2214604800,8.02e+20,284207616,435202560,2.188612
