h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
3072,8264,48,47,0.000196,96,24194,-1,4756733952.0,5354047488,35670933504,1.7e+20,5354047488,5756700672,2.3039
3072,8264,48,47,0.000301,224,41476,-1,19027197952.0,5354047488,35670933504,6.79e+20,5354047488,5756700672,2.048669
3072,8264,48,47,0.000243,144,32259,-1,9513566208.0,5354047488,35670933504,3.39e+20,5354047488,5756700672,2.2171
3072,8264,48,47,0.00027,160,41059,-1,13454213120.0,5354047488,35670933504,4.8e+20,5354047488,5756700672,2.172528
3072,8264,48,47,0.000218,112,29328,-1,6727139328.0,5354047488,35670933504,2.4e+20,5354047488,5756700672,2.216068
3072,8264,48,47,0.000176,80,20529,-1,3363471360.0,5354047488,35670933504,1.2e+20,5354047488,5756700672,2.309886
3072,8264,48,47,0.000414,384,68432,-1,53817114624.0,5354047488,35670933504,1.92e+21,5354047488,5756700672,1.939849
3072,8264,48,47,0.000372,320,58066,-1,38054133760.0,5354047488,35670933504,1.36e+21,5354047488,5756700672,2.017448
3072,8264,48,47,0.000334,256,51324,-1,26908557312.0,5354047488,35670933504,9.6e+20,5354047488,5756700672,2.001077
3072,8264,48,47,0.000512,512,102648,-1,107634000000.0,5354047488,35670933504,3.84e+21,5354047488,5756700672,1.880348
3072,8264,48,47,0.00046,512,72583,-1,76108791808.0,5354047488,35670933504,2.71e+21,5354047488,5756700672,1.916273
