h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
1536,4064,24,24,0.00203,464,80092,-1,76109185024.0,676012032,4961599488,3.78e+20,676012032,877338624,2.133774
1536,4064,24,24,0.000699,64,18145,-1,2378301440.0,676012032,4961599488,1.18e+19,676012032,877338624,2.597184
1536,4064,24,24,0.00107,144,32259,-1,9513566208.0,676012032,4961599488,4.72e+19,676012032,877338624,2.374593
1536,4064,24,24,0.00182,384,68432,-1,53817114624.0,676012032,4961599488,2.67e+20,676012032,877338624,2.164027
1536,4064,24,24,0.00132,208,44666,-1,19027001344.0,676012032,4961599488,9.44e+19,676012032,877338624,2.264022
1536,4064,24,24,0.00226,576,91243,-1,107635000000.0,676012032,4961599488,5.34e+20,676012032,877338624,2.128234
1536,4064,24,24,0.00251,672,110603,-1,152218000000.0,676012032,4961599488,7.55e+20,676012032,877338624,2.088454
1536,4064,24,24,0.000777,80,20529,-1,3363471360.0,676012032,4961599488,1.67e+19,676012032,877338624,2.455441
1536,4064,24,24,0.000962,112,29328,-1,6727139328.0,676012032,4961599488,3.34e+19,676012032,877338624,2.38632
1536,4064,24,24,0.000564,40,14516,-1,1189150720.0,676012032,4961599488,5.9e+18,676012032,877338624,2.769988
1536,4064,24,24,0.000628,56,14664,-1,1681784832.0,676012032,4961599488,8.34e+18,676012032,877338624,2.609404
1536,4064,24,24,0.00164,312,59555,-1,38054215680.0,676012032,4961599488,1.89e+20,676012032,877338624,2.209442
1536,4064,24,24,0.000864,96,24194,-1,4756733952.0,676012032,4961599488,2.36e+19,676012032,877338624,2.457147
1536,4064,24,24,0.00119,176,37326,-1,13454082048.0,676012032,4961599488,6.68e+19,676012032,877338624,2.326694
1536,4064,24,24,0.00147,256,51324,-1,26908557312.0,676012032,4961599488,1.34e+20,676012032,877338624,2.199395
1536,4064,24,24,0.00345,1216,172881,-1,430537000000.0,676012032,4961599488,2.14e+21,676012032,877338624,2.014457
1536,4064,24,24,0.00311,1024,145166,-1,304435000000.0,676012032,4961599488,1.51e+21,676012032,877338624,2.058937
1536,4064,24,24,0.00279,832,126336,-1,215268000000.0,676012032,4961599488,1.07e+21,676012032,877338624,2.086517
