h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
832,2216,13,12,0.00259,56,17438,-1,1999929344.0,99620352,842969088,1.69e+18,99620352,208672256,2.793888
832,2216,13,12,0.00288,72,19181,-1,2828353536.0,99620352,842969088,2.38e+18,99620352,208672256,2.81866
832,2216,13,12,0.0032,88,22194,-1,3999891456.0,99620352,842969088,3.37e+18,99620352,208672256,2.733393
832,2216,13,12,0.00356,104,26558,-1,5656641536.0,99620352,842969088,4.77e+18,99620352,208672256,2.690051
832,2216,13,12,0.00396,128,30517,-1,7999848448.0,99620352,842969088,6.74e+18,99620352,208672256,2.653288
832,2216,13,12,0.0044,152,36343,-1,11313430528.0,99620352,842969088,9.54e+18,99620352,208672256,2.601701
832,2216,13,12,0.0049,192,40690,-1,15999959040.0,99620352,842969088,1.35e+19,99620352,208672256,2.570203
832,2216,13,12,0.00545,232,47623,-1,22627401728.0,99620352,842969088,1.91e+19,99620352,208672256,2.500161
832,2216,13,12,0.00606,280,55803,-1,31999672320.0,99620352,842969088,2.7e+19,99620352,208672256,2.498923
832,2216,13,12,0.00675,344,64235,-1,45254328320.0,99620352,842969088,3.81e+19,99620352,208672256,2.486298
832,2216,13,12,0.0075,416,75120,-1,63999836160.0,99620352,842969088,5.39e+19,99620352,208672256,2.462399
832,2216,13,12,0.00835,512,86316,-1,90508886016.0,99620352,842969088,7.63e+19,99620352,208672256,2.449566
832,2216,13,12,0.00929,624,100160,-1,128000000000.0,99620352,842969088,1.08e+20,99620352,208672256,2.434527
832,2216,13,12,0.0103,760,116300,-1,181019000000.0,99620352,842969088,1.53e+20,99620352,208672256,2.428674
832,2216,13,12,0.0115,928,134698,-1,255999000000.0,99620352,842969088,2.16e+20,99620352,208672256,2.408236
