h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
896,2544,14,14,0.00202,56,17438,-1,1999929344.0,140718592,1152442368,2.3e+18,140718592,258159104,2.785598404
896,2544,14,14,0.00225,72,19181,-1,2828353536.0,140718592,1152442368,3.26e+18,140718592,258159104,2.738417979
896,2544,14,14,0.0025,88,22194,-1,3999891456.0,140718592,1152442368,4.61e+18,140718592,258159104,2.676633033
896,2544,14,14,0.00278,104,26558,-1,5656641536.0,140718592,1152442368,6.52e+18,140718592,258159104,2.620055526
896,2544,14,14,0.00309,128,30517,-1,7999848448.0,140718592,1152442368,9.22e+18,140718592,258159104,2.577425809
896,2544,14,14,0.00344,152,36343,-1,11313430528.0,140718592,1152442368,1.3e+19,140718592,258159104,2.535863328
896,2544,14,14,0.00383,192,40690,-1,15999959040.0,140718592,1152442368,1.84e+19,140718592,258159104,2.494435297
896,2544,14,14,0.00426,232,47623,-1,22627401728.0,140718592,1152442368,2.61e+19,140718592,258159104,2.467361822
896,2544,14,14,0.00474,280,55803,-1,31999672320.0,140718592,1152442368,3.69e+19,140718592,258159104,2.443696458
896,2544,14,14,0.00527,344,64235,-1,45254328320.0,140718592,1152442368,5.22e+19,140718592,258159104,2.424874562
896,2544,14,14,0.00587,416,75120,-1,63999836160.0,140718592,1152442368,7.38e+19,140718592,258159104,2.404558539
896,2544,14,14,0.00653,512,86316,-1,90508886016.0,140718592,1152442368,1.04e+20,140718592,258159104,2.384619679
896,2544,14,14,0.00726,624,100160,-1,128000000000.0,140718592,1152442368,1.48e+20,140718592,258159104,2.37233116
896,2544,14,14,0.00805,752,117537,-1,181018000000.0,140718592,1152442368,2.09e+20,140718592,258159104,2.357767586
896,2544,14,14,0.00181,48,14386,-1,1414201344.0,140718592,1152442368,1.63e+18,140718592,258159104,2.866098257
896,2544,14,14,0.00895,928,134698,-1,255999000000.0,140718592,1152442368,2.95e+20,140718592,258159104,2.342572058
