h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
1344,3584,21,22,0.000804,56,14664,-1,1681784832.0,476931840,3587899392,6.03e+18,476931840,653092608,2.676574185
1344,3584,21,22,0.0021,312,59555,-1,38054215680.0,476931840,3587899392,1.37e+20,476931840,653092608,2.244273362
1344,3584,21,22,0.000995,80,20529,-1,3363471360.0,476931840,3587899392,1.21e+19,476931840,653092608,2.548025875
1344,3584,21,22,0.000723,40,14516,-1,1189150720.0,476931840,3587899392,4.27e+18,476931840,653092608,2.76284169
1344,3584,21,22,0.00152,176,37326,-1,13454082048.0,476931840,3587899392,4.83e+19,476931840,653092608,2.344744833
1344,3584,21,22,0.00111,96,24194,-1,4756733952.0,476931840,3587899392,1.71e+19,476931840,653092608,2.492860042
1344,3584,21,22,0.00123,112,29328,-1,6727139328.0,476931840,3587899392,2.41e+19,476931840,653092608,2.4349686
1344,3584,21,22,0.0017,208,44666,-1,19027001344.0,476931840,3587899392,6.83e+19,476931840,653092608,2.308772768
1344,3584,21,22,0.00137,144,32259,-1,9513566208.0,476931840,3587899392,3.41e+19,476931840,653092608,2.386977946
1344,3584,21,22,0.00357,832,126336,-1,215268000000.0,476931840,3587899392,7.72e+20,476931840,653092608,2.130337719
1344,3584,21,22,0.000894,64,18145,-1,2378301440.0,476931840,3587899392,8.53e+18,476931840,653092608,2.61579331
1344,3584,21,22,0.00321,672,110603,-1,152218000000.0,476931840,3587899392,5.46e+20,476931840,653092608,2.150251914
1344,3584,21,22,0.00289,560,93850,-1,107635000000.0,476931840,3587899392,3.86e+20,476931840,653092608,2.174512234
1344,3584,21,22,0.00189,256,51324,-1,26908557312.0,476931840,3587899392,9.65e+19,476931840,653092608,2.278022335
1344,3584,21,22,0.00233,376,69888,-1,53817114624.0,476931840,3587899392,1.93e+20,476931840,653092608,2.220841772
1344,3584,21,22,0.00398,1024,145166,-1,304435000000.0,476931840,3587899392,1.09e+21,476931840,653092608,2.117853434
1344,3584,21,22,0.00442,1216,172881,-1,430537000000.0,476931840,3587899392,1.54e+21,476931840,653092608,2.108046685
1344,3584,21,22,0.0026,464,80092,-1,76109185024.0,476931840,3587899392,2.73e+20,476931840,653092608,2.196126813
